State,Parliamentary Code,Parliamentary Seat Name,Total Number of Electors (March 1967),Boundary Alteration,Name Alteration
PERLIS,P.1,PERLIS UTARA,26218,YES,
PERLIS,P.2,PERLIS SELATAN,24708,YES,
KEDAH,P.3,JERLUN - LANGKAWI,24805,YES,
KEDAH,P.4,KUBANG PASU,32124,YES,
KEDAH,P.5,KOTA SETAR UTARA,29206,YES,
KEDAH,P.6,ALOR SETAR,34397,YES,
KEDAH,P.7,KOTA SETAR SELATAN,27141,YES,
KEDAH,P.8,KUALA NERANG,24739,YES,
KEDAH,P.9,PADANG,27177,YES,
KEDAH,P.10,JERAI,24279,YES,
KEDAH,P.11,KUALA MUDA,25434,YES,
KEDAH,P.12,SUNGAI PETANI,30927,YES,
KEDAH,P.13,BALING,25968,YES,
KEDAH,P.14,KULIM UTARA,28105,YES,
KEDAH,P.15,KULIM SELATAN,29608,YES,
KELANTAN,P.16,TUMPAT,33970,YES,
KELANTAN,P.17,PASIR MAS,27354,NO,PASIR MAS HILIR (ORIGINAL)
KELANTAN,P.18,KOTA BAHARU,39155,YES,
KELANTAN,P.19,PENGKALAN CHEPA,37514,YES,
KELANTAN,P.20,BACHOK,29537,NO,
KELANTAN,P.21,RANTAU PANJANG,23618,NO,PASIR MAS HULU (ORIGINAL)
KELANTAN,P.22,TANAH MERAH,24518,YES,
KELANTAN,P.23,MACHANG,36646,YES,
KELANTAN,P.24,PASIR PUTEH,29458,NO,
KELANTAN,P.25,ULU KELANTAN,20883,YES,
TERENGGANU,P.26,BESUT,31396,NO,
TERENGGANU,P.27,NERUS,25286,YES,
TERENGGANU,P.28,KUALA TERENGGANU,31889,YES,
TERENGGANU,P.29,ULU TERENGGANU,25213,YES,
TERENGGANU,P.30,DUNGUN-MARANG,23110,YES,
TERENGGANU,P.31,KEMAMAN,23379,YES,
PULAU PINANG,P.32,BALIK PULAU,23301,YES,
PULAU PINANG,P.33,BATU FERINGGI,26959,YES,
PULAU PINANG,P.34,PAYA TERUBONG,27692,YES,
PULAU PINANG,P.35,DATOK KERAMAT,35006,YES,
PULAU PINANG,P.36,TANJONG,35689,YES,
PULAU PINANG,P.37,BUTTERWORTH,35249,YES,
PULAU PINANG,P.38,SEBERANG UTARA,27171,YES,
PULAU PINANG,P.39,SEBERANG TENGAH,29972,YES,
PULAU PINANG,P.40,SEBERANG SELATAN,22908,NO,
PERAK,P.41,PERAK HULU,21737,YES,
PERAK,P.42,KERIAN BARAT,27970,NO,KRAN LUAT
PERAK,P.43,KERIAN TIMOR,26886,NO,KRIAN DARAT
PERAK,P.44,LARUT,27828,YES,
PERAK,P.45,MATANG,35001,YES,
PERAK,P.46,KUALA KANGSAR,29366,YES,
PERAK,P.47,SUNGAI SIPUT,22049,YES,
PERAK,P.48,BERUAS,30255,YES,
PERAK,P.49,PARIT,23178,YES,
PERAK,P.50,KINTA,34028,YES,
PERAK,P.51,IPOH,36356,YES,
PERAK,P.52,MENGLEMBU,36786,YES,
PERAK,P.53,BATU GAJAH,34776,YES,
PERAK,P.54,KAMPAR,33763,YES,
PERAK,P.55,DINDING,31924,YES,
PERAK,P.56,PERAK HILIR,21846,YES,
PERAK,P.57,BATANG PADANG,20238,YES,
PERAK,P.58,TELOK ANSON,30851,YES,
PERAK,P.59,BAGAN DATOK,24262,YES,
PERAK,P.60,TANJONG MALIM,21794,YES,
PAHANG,P.61,RAUB,23841,YES,
PAHANG,P.62,LIPIS,31081,YES,
PAHANG,P.63,BENTONG,25783,YES,
PAHANG,P.64,TEMERLOH,29913,YES,
PAHANG,P.65,KUANTAN,25844,YES,
PAHANG,P.66,PEKAN,19171,YES,
SELANGOR,P.67,SABAK BERNAM,23767,YES,
SELANGOR,P.68,KUALA SELANGOR UTARA,20059,YES,
SELANGOR,P.69,KUALA SELANGOR SELATAN,20825,YES,
SELANGOR,P.70,ULU SELANGOR,33049,YES,
SELANGOR,P.71,KELANG,25984,YES,
SELANGOR,P.72,KOTA KELANG,34963,YES,
SELANGOR,P.73,PETALING JAYA,36751,YES,
SELANGOR,P.74,KEPONG,36993,YES,
SELANGOR,P.75,GOMBAK,34601,YES,
SELANGOR,P.76,AMPANG,34598,YES,
SELANGOR,P.77,BUKIT BINTANG,37746,YES,
SELANGOR,P.78,SUNGAI BESI,36405,YES,
SELANGOR,P.79,ULU LANGAT,21291,NO,LANGAT
SELANGOR,P.80,KUALA LANGAT,22143,YES,
SELANGOR,P.81,SEPANG,20376,YES,
NEGERI SEMBILAN,P.82,JELEBU - JEMPOL,27381,YES,
NEGERI SEMBILAN,P.83,SEREMBAN,41188,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,27108,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,36510,YES,
NEGERI SEMBILAN,P.86,REMBAU - TAMPIN,26355,YES,
MELAKA,P.87,ALOR GAJAH,36499,YES,
MELAKA,P.88,MELAKA LUAR,29906,YES,
MELAKA,P.89,KOTA MELAKA,39782,YES,
MELAKA,P.90,JASIN,28477,YES,
JOHOR,P.91,SEGAMAT,27076,YES,
JOHOR,P.92,BEKOK,29725,YES,
JOHOR,P.93,GUNONG LEDANG,27396,YES,
JOHOR,P.94,PAGOH,22114,YES,
JOHOR,P.95,MUAR,35492,YES,
JOHOR,P.96,SEMERAH,26798,YES,
JOHOR,P.97,YONG PENG,27517,YES,
JOHOR,P.98,BATU PAHAT,33828,YES,
JOHOR,P.99,ENDAU,24049,YES,
JOHOR,P.100,BENUT,26725,YES,
JOHOR,P.101,PONTIAN,27529,YES,
JOHOR,P.102,KULAI,28890,YES,
JOHOR,P.103,PANTI,26823,YES,
JOHOR,P.104,JOHOR BAHARU,36454,YES,
