STATE,PARLIAMENTARY CODE (POST 1974),PARLIAMENTARY NAME (POST 1974),TOTAL ELECTORS (FEB 1974)
PERLIS,P.1,KANGAR,28924
PERLIS,P.2,ARAU,28961
KEDAH,P.3,JERLUN LANGKAWI,28756
KEDAH,P.4,KUBANG PASU,33258
KEDAH,P.5,PADANG TERAP,28348
KEDAH,P.6,KUALA KEDAH,33457
KEDAH,P.7,ALOR SETAR,39088
KEDAH,P.8,KOTA SETAR,27565
KEDAH,P.9,ULU MUDA,26625
KEDAH,P.10,BALING,32738
KEDAH,P.11,JERAI,28704
KEDAH,P.12,KUALA MUDA,29599
KEDAH,P.13,SUNGAI PETANI,36700
KEDAH,P.14,PADANG SERAI,24542
KEDAH,P.15,KULIM-BANDAR BAHARU,27940
KELANTAN,P.16,TUMPAT,34719
KELANTAN,P.17,PENGKALAN CHEPA,31042
KELANTAN,P.18,PASIR MAS,32680
KELANTAN,P.19,KOTA BHARU,38958
KELANTAN,P.20,BACHOK,32252
KELANTAN,P.21,RANTAU PANJANG,24974
KELANTAN,P.22,NILAM PURI,30116
KELANTAN,P.23,TANAH MERAH,23023
KELANTAN,P.24,MACHANG,25386
KELANTAN,P.25,PASIR PUTEH,28278
KELANTAN,P.26,KUALA KRAI,18650
KELANTAN,P.27,ULU KELANTAN,16765
TERENGGANU,P.28,BESUT,27810
TERENGGANU,P.29,ULU NERUS,24095
TERENGGANU,P.30,ULU TRENGGANU,21949
TERENGGANU,P.31,KUALA NERUS,25535
TERENGGANU,P.32,KUALA TRENGGANU,32771
TERENGGANU,P.33,DUNGUN,25192
TERENGGANU,P.34,KEMAMAN,26373
PULAU PINANG,P.35,KEPALA BATAS,22843
PULAU PINANG,P.36,MATA KUCHING,31385
PULAU PINANG,P.37,PERMATANG PAUH,21942
PULAU PINANG,P.38,BUKIT MERTAJAM,28902
PULAU PINANG,P.39,NIBONG TEBAL,25771
PULAU PINANG,P.40,BALIK PULAU,30787
PULAU PINANG,P.41,BUKIT BENDERA,41033
PULAU PINANG,P.42,TANJONG,46719
PULAU PINANG,P.43,JELUTONG,44594
PERAK,P.44,GRIK,16407
PERAK,P.45,LARUT,20424
PERAK,P.46,PARIT BUNTAR,31734
PERAK,P.47,BAGAN SERAI,29919
PERAK,P.48,SUNGAI SIPUT,23795
PERAK,P.49,TAIPING,36394
PERAK,P.50,MATANG,26611
PERAK,P.51,PADANG RENGAS,22680
PERAK,P.52,KUALA KANGSAR,21720
PERAK,P.53,KINTA,46307
PERAK,P.54,IPOH,51569
PERAK,P.55,MENGLEMBU,51316
PERAK,P.56,BERUAS,23544
PERAK,P.57,PARIT,29250
PERAK,P.58,BATU GAJAH,37809
PERAK,P.59,BATANG PADANG,22098
PERAK,P.60,LUMUT,29263
PERAK,P.61,HILIR PERAK,26524
PERAK,P.62,TELOK ANSON,29089
PERAK,P.63,TANJONG MALIM,26757
PERAK,P.64,BAGAN DATOK,27683
PAHANG,P.65,LIPIS,27363
PAHANG,P.66,JERANTUT,24662
PAHANG,P.67,KUANTAN,30991
PAHANG,P.68,RAUB,24325
PAHANG,P.69,MARAN,21326
PAHANG,P.70,BENTONG,27378
PAHANG,P.71,PEKAN,22957
PAHANG,P.72,TEMERLOH,28790
SELANGOR,P.73,SABAK BERNAM,22474
SELANGOR,P.74,TANJONG KARANG,24227
SELANGOR,P.75,ULU SELANGOR,27973
SELANGOR,P.76,KUALA SELANGOR,27578
SELANGOR,P.77,SELAYANG,42662
SELANGOR,P.78,ULU LANGAT,28026
SELANGOR,P.79,PELABOHAN KLANG,33208
SELANGOR,P.80,SHAH ALAM,42696
SELANGOR,P.81,PETALING,48100
SELANGOR,P.82,KUALA LANGAT,22289
SELANGOR,P.83,SEPANG,22025
WILAYAH PERSEKUTUAN,P.84,KEPONG,38488
WILAYAH PERSEKUTUAN,P.85,SETAPAK,42584
WILAYAH PERSEKUTUAN,P.86,DAMANSARA,38028
WILAYAH PERSEKUTUAN,P.87,KUALA LUMPUR BANDAR,46289
WILAYAH PERSEKUTUAN,P.88,SUNGEI BESI,45446
NEGERI SEMBILAN,P.89,JELEBU,24690
NEGERI SEMBILAN,P.90,MANTIN,26777
NEGERI SEMBILAN,P.91,SEREMBAN,41671
NEGERI SEMBILAN,P.92,KUALA PILAH,27151
NEGERI SEMBILAN,P.93,TELOK KEMANG,28831
NEGERI SEMBILAN,P.94,TAMPIN,31889
MELAKA,P.95,ALOR GAJAH,35663
MELAKA,P.96,JASIN,33591
MELAKA,P.97,BATU BERENDAM,37148
MELAKA,P.98,KOTA MELAKA,46609
JOHOR,P.99,SEGAMAT,23533
JOHOR,P.100,LABIS,29749
JOHOR,P.101,TENGGAROH,17274
JOHOR,P.102,LEDANG,31029
JOHOR,P.103,PAGOH,28613
JOHOR,P.104,YONG PENG,29465
JOHOR,P.105,KLUANG,30272
JOHOR,P.106,MUAR,38631
JOHOR,P.107,SEMERAH,24340
JOHOR,P.108,PANTI,19595
JOHOR,P.109,BATU PAHAT,38212
JOHOR,P.110,KULAI,33299
JOHOR,P.111,BENUT,30093
JOHOR,P.112,PONTIAN,29038
JOHOR,P.113,PULAI,28365
JOHOR,P.114,JOHOR BAHRU,43752
