STATE,PARLIAMENTARY CODE (PRE 1974),PARLIAMENTARY NAME (PRE 1974),DUN CODE (PRE 1974),DUN NAME (PRE 1974),TOTAL ELECTORS (1972/3)
PERLIS,P.1,PERLIS UTARA,N.1,KAKI BUKIT,7273
PERLIS,P.1,PERLIS UTARA,N.2,PAYA,5271
PERLIS,P.1,PERLIS UTARA,N.3,MATA AYER,4907
PERLIS,P.1,PERLIS UTARA,N.4,BANDAR KANGAR,3427
PERLIS,P.1,PERLIS UTARA,N.5,SENA,4148
PERLIS,P.1,PERLIS UTARA,N.6,BINTONG,5693
PERLIS,P.2,PERLIS SELATAN,N.7,KURONG ANAI,5309
PERLIS,P.2,PERLIS SELATAN,N.8,ARAU,5205
PERLIS,P.2,PERLIS SELATAN,N.9,HUTAN AJI,5227
PERLIS,P.2,PERLIS SELATAN,N.10,KAYANG,4895
PERLIS,P.2,PERLIS SELATAN,N.11,KUALA PERLIS,4960
PERLIS,P.2,PERLIS SELATAN,N.12,SANGLANG,5105
KEDAH,P.3,JITRA - PADANG TERAP,N.1,JITRA,19012
KEDAH,P.3,JITRA - PADANG TERAP,N.2,PADANG TERAP,20966
KEDAH,P.4,KUBANG PASU BARAT,N.3,JERLUN KODIANG,14595
KEDAH,P.4,KUBANG PASU BARAT,N.4,TUNJANG,14552
KEDAH,P.5,KOTA SETAR UTARA,N.5,LANGGAR-LIMBONG,15168
KEDAH,P.5,KOTA SETAR UTARA,N.6,POKOK SENA,16564
KEDAH,P.6,ALOR SETAR,N.7,ALOR SETAR PEKAN,17906
KEDAH,P.6,ALOR SETAR,N.8,ALOR SETAR LUAR,24569
KEDAH,P.7,KUALA KEDAH,N.9,LANGKAWI,20927
KEDAH,P.7,KUALA KEDAH,N.10,KOTA SETAR BARAT,20578
KEDAH,P.8,KOTA SETAR SELATAN,N.11,KANGKONG BUKIT RAYA,16204
KEDAH,P.8,KOTA SETAR SELATAN,N.12,PADANG,19164
KEDAH,P.9,KEDAH TENGAH,N.13,SIK-GURUN,23082
KEDAH,P.9,KEDAH TENGAH,N.14,KOTA,15358
KEDAH,P.10,JERAI,N.15,SALA,18232
KEDAH,P.10,JERAI,N.16,YEN-MERBOK,15668
KEDAH,P.11,BALING,N.17,BALING TIMOR,19593
KEDAH,P.11,BALING,N.18,BALING BARAT,19482
KEDAH,P.12,SUNGAI PATANI,N.19,PEKAN SUNGAI PATANI,17763
KEDAH,P.12,SUNGAI PATANI,N.20,SUNGAI PATANI LUAR,14576
KEDAH,P.13,KULIM UTARA,N.21,SIDAM,13303
KEDAH,P.13,KULIM UTARA,N.22,LUNAS,15786
KEDAH,P.14,KULIM - BANDAR BAHARU,N.23,KULIM,17143
KEDAH,P.14,KULIM - BANDAR BAHARU,N.24,BANDAR BAHRU,14081
KELANTAN,P.15,TUMPAT,S.1,TUMPAT BARAT,11049
KELANTAN,P.15,TUMPAT,S.2,TUMPAT TENGAH,11633
KELANTAN,P.15,TUMPAT,S.3,TUMPAT TIMOR,11827
KELANTAN,P.16,KELANTAN HILIR,S.4,KUALA KELANTAN,9851
KELANTAN,P.16,KELANTAN HILIR,S.5,KOTA BHARU UTARA,13445
KELANTAN,P.16,KELANTAN HILIR,S.6,KOTA BHARU PANTAI,12576
KELANTAN,P.17,PASIR MAS HILIR,S.7,MERANTI,9184
KELANTAN,P.17,PASIR MAS HILIR,S.8,TENDONG,10766
KELANTAN,P.17,PASIR MAS HILIR,S.9,BANDAR PASIR MAS,12844
KELANTAN,P.18,KOTA BHARU HILIR,S.10,BANDAR HILIR,12910
KELANTAN,P.18,KOTA BHARU HILIR,S.11,BANDAR HULU,18758
KELANTAN,P.18,KOTA BHARU HILIR,S.12,KOTA BHARU TENGAH,12425
KELANTAN,P.19,BACHOK,S.13,BACHOK UTARA,12380
KELANTAN,P.19,BACHOK,S.14,BACHOK TENGAH,10863
KELANTAN,P.19,BACHOK,S.15,BACHOK SELATAN,11640
KELANTAN,P.20,KOTA BHARU HULU,S.16,KOTA BHARU TIMOR,13252
KELANTAN,P.20,KOTA BHARU HULU,S.17,KOTA BHARU BARAT,11803
KELANTAN,P.20,KOTA BHARU HULU,S.18,KOTA BHARU SELATAN,13108
KELANTAN,P.21,PASIR MAS HULU,S.19,RANTAU PANJANG,9468
KELANTAN,P.21,PASIR MAS HULU,S.20,LEMAL,8809
KELANTAN,P.21,PASIR MAS HULU,S.21,TOK UBAN,9965
KELANTAN,P.22,PASIR PUTEH,S.22,PASIR PUTEH UTARA,11436
KELANTAN,P.22,PASIR PUTEH,S.23,PASIR PUTEH TENGAH,12852
KELANTAN,P.22,PASIR PUTEH,S.24,PASIR PUTEH TENGGARA,12809
KELANTAN,P.23,TANAH MERAH,S.25,MACHANG UTARA,13432
KELANTAN,P.23,TANAH MERAH,S.26,TANAH MERAH TIMOR,16619
KELANTAN,P.23,TANAH MERAH,S.27,TANAH MERAH BARAT,13907
KELANTAN,P.24,ULU KELANTAN,S.28,MACHANG SELATAN,14235
KELANTAN,P.24,ULU KELANTAN,S.29,ULU KELANTAN TIMOR,19752
KELANTAN,P.24,ULU KELANTAN,S.30,ULU KELANTAN BARAT,9522
TERENGGANU,P.25,BESUT,S.1,KUALA BESUT,8237
TERENGGANU,P.25,BESUT,S.2,KAMPONG RAJA,5800
TERENGGANU,P.25,BESUT,S.3,ULU BESUT,8633
TERENGGANU,P.25,BESUT,S.4,BESUT TENGAH,7528
TERENGGANU,P.25,BESUT,S.5,SETIU,8543
TERENGGANU,P.26,KUALA TRENGGANU UTARA,S.6,BATU RAKIT,9291
TERENGGANU,P.26,KUALA TRENGGANU UTARA,S.7,KUALA NERUS,9543
TERENGGANU,P.26,KUALA TRENGGANU UTARA,S.8,JERAM,7925
TERENGGANU,P.26,KUALA TRENGGANU UTARA,S.9,LANGKAP,8143
TERENGGANU,P.27,KUALA TRENGGANU SELATAN,S.10,BANDAR,6767
TERENGGANU,P.27,KUALA TRENGGANU SELATAN,S.11,LADANG,8200
TERENGGANU,P.27,KUALA TRENGGANU SELATAN,S.12,BUKIT BESAR,8260
TERENGGANU,P.27,KUALA TRENGGANU SELATAN,S.13,BATU BUROK,10448
TERENGGANU,P.28,DUNGUN,S.14,MARANG,10504
TERENGGANU,P.28,DUNGUN,S.15,SURA,6125
TERENGGANU,P.28,DUNGUN,S.16,ULU DUNGUN,11197
TERENGGANU,P.28,KEMAMAN,S.17,PAKA KERTEH,8620
