STATE,PARLIAMENTARY CODE (POST 1974),PARLIAMENTARY NAME (POST 1974),DUN CODE (POST 1974),DUN NAME (POST 1974),TOTAL ELECTORS (FEB 1974)
PERLIS,P.1,KANGAR,N.1,TITI TINGGI,4273
PERLIS,P.1,KANGAR,N.2,CHUPING,4703
PERLIS,P.1,KANGAR,N.3,BINTONG,4883
PERLIS,P.1,KANGAR,N.4,BANDAR KANGAR,5811
PERLIS,P.1,KANGAR,N.5,PAYA,5839
PERLIS,P.1,KANGAR,N.6,ORAN,3415
PERLIS,P.2,ARAU,N.7,KUALA PERLIS,4724
PERLIS,P.2,ARAU,N.8,KAYANG,4574
PERLIS,P.2,ARAU,N.9,UTAN AJI,4547
PERLIS,P.2,ARAU,N.10,BANDAR ARAU,4926
PERLIS,P.2,ARAU,N.11,KURONG ANAI,5378
PERLIS,P.2,ARAU,N.12,SANGLANG,4812
KEDAH,P.3,JERLUN LANGKAWI,N.1,LANGKAWI,10056
KEDAH,P.3,JERLUN LANGKAWI,N.2,JERLUN,18700
KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,16423
KEDAH,P.4,KUBANG PASU,N.4,JITRA,16835
KEDAH,P.5,PADANG TERAP,N.5,KUALA NERANG,13126
KEDAH,P.5,PADANG TERAP,N.6,POKOK SENA,15222
KEDAH,P.6,KUALA KEDAH,N.7,ANAK BUKIT,16105
KEDAH,P.6,KUALA KEDAH,N.8,PENGKALAN KUNDOR,17352
KEDAH,P.7,ALOR SETAR,N.9,ALOR MERAH,14224
KEDAH,P.7,ALOR SETAR,N.10,BANDAR ALOR SETAR,24864
KEDAH,P.8,KOTA SETAR,N.11,LANGGAR LIMBONG,13458
KEDAH,P.8,KOTA SETAR,N.12,BUKIT RAYA,14107
KEDAH,P.9,ULU MUDA,N.13,SIK,11224
KEDAH,P.9,ULU MUDA,N.14,PENDANG,15401
KEDAH,P.10,BALING,N.15,BAYU,15241
KEDAH,P.10,BALING,N.16,KUPANG,17497
KEDAH,P.11,JERAI,N.17,SALA,12320
KEDAH,P.11,JERAI,N.18,YAN,16384
KEDAH,P.12,KUALA MUDA,N.19,GURUN,13579
KEDAH,P.12,KUALA MUDA,N.20,MERBOK,16020
KEDAH,P.13,SUNGAI PETANI,N.21,TIKAM BATU,24865
KEDAH,P.13,SUNGAI PETANI,N.22,KUALA KETIL,11835
KEDAH,P.14,PADANG SERAI,N.23,LUNAS,14966
KEDAH,P.14,PADANG SERAI,N.24,MERBAU PULAS,9576
KEDAH,P.15,KULIM-BANDAR BAHARU,N.25,KULIM,14432
KEDAH,P.15,KULIM-BANDAR BAHARU,N.26,SERDANG,13508
KELANTAN,P.16,TUMPAT,N.1,SIMPANGAN,10284
KELANTAN,P.16,TUMPAT,N.2,SUNGEI PINANG,12121
KELANTAN,P.16,TUMPAT,N.3,WAKAF BAHARU,12314
KELANTAN,P.17,PENGKALAN CHEPA,N.4,SEMUT API,10448
KELANTAN,P.17,PENGKALAN CHEPA,N.5,KEMUMIN,10037
KELANTAN,P.17,PENGKALAN CHEPA,N.6,SERING,10557
KELANTAN,P.18,PASIR MAS,N.7,TENDONG,11263
KELANTAN,P.18,PASIR MAS,N.8,MERANTI,9947
KELANTAN,P.18,PASIR MAS,N.9,BANDAR PASIR MAS,11470
