STATE,PARLIAMENT CODE,PARLIAMENT NAME,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),IBAN (%),BIDAYUH (%),"KAYAN, KELABIT, KENYAH (%)"
PERLIS,P.1,KANGAR,77.7,18.1,2.6,1.6,,,
PERLIS,P.2,ARAU,85.3,11.8,1.1,1.8,,,
KEDAH,P.3,JERLUN - LANGKAWI,90.2,8.5,1,1.5,,,
KEDAH,P.4,KUBANG PASU,84.1,10.9,3.5,1.5,,,
KEDAH,P.5,PADANG TERAP,89.9,5,0.9,4.2,,,
KEDAH,P.6,KOTA SETAR,75.6,22,5.5,0.5,,,
KEDAH,P.7,ALOR SETAR,54.8,38.8,5.5,0.9,,,
KEDAH,P.8,KUALA KEDAH,80.1,19.2,0.8,0.3,,,
KEDAH,P.9,PENDANG,87,7.2,0.8,0.19,,,
KEDAH,P.10,JERAI,87.9,11.7,0.3,0.1,,,
KEDAH,P.11,MERBOK,54.8,25.7,18.9,0.6,,,
KEDAH,P.12,SIK,81.6,6.4,8.5,3.5,,,
KEDAH,P.13,BALING,81.1,7.4,1.7,1.8,,,
KEDAH,P.14,SUNGAI PETANI,55.1,34.3,10,0.6,,,
KEDAH,P.15,PADANG SERAI,55.2,20.6,23.7,0.5,,,
KEDAH,P.16,KULIM - BANDAR BAHARU,55.4,30.2,13.8,0.6,,,
KELANTAN,P.17,TUMPAT,92.1,3.2,0.3,4.7,,,
KELANTAN,P.18,PENGKALAN CHEPA,96,3,0.4,0.6,,,
KELANTAN,P.19,KOTA BAHARU,78.7,19.8,1.2,0.3,,,
KELANTAN,P.20,PASIR MAS,94.8,3.1,0.1,2,,,
KELANTAN,P.21,RANTAU PANJANG,96.3,2.7,0.1,0.9,,,
KELANTAN,P.22,NILAM PURI,98.4,1.3,0,0.3,,,
KELANTAN,P.23,BACHOK,98.2,1.4,0,0.4,,,
KELANTAN,P.24,PASIR PUTEH,97,2.1,0.1,0.8,,,
KELANTAN,P.25,KOK LANAS,97,2.9,0,0.1,,,
KELANTAN,P.26,TANAH MERAH,94.8,4,0,1.2,,,
KELANTAN,P.27,MACHANG,94.8,3.1,2.1,0,,,
KELANTAN,P.28,KUALA KRAI,88,8.6,3,0.3,,,
KELANTAN,P.29,GUA MUSANG,82.2,6.9,0.7,10.2,,,
TERENGGANU,P.30,BESUT,97.9,1.8,2,0,,,
