State,PARLIAMENT CODE,PARLIAMENT NAME,DUN CODE,DUN NAME,MUSLIM BUMIPUTERA,NON MUSLIM BUMIPUTERA,CHINESE,OTHERS,TOTAL
SABAH,P.134,MARUDU,N.01,BANGGI,3116,3134,15,,6265
SABAH,P.134,MARUDU,N.02,KUDAT,3566,2777,4681,44,11068
SABAH,P.134,MARUDU,N.03,BENGKOKA,2069,5407,115,2,7593
SABAH,P.135,BANDAU,N.04,MATUNGGONG,1131,6220,264,2,7617
SABAH,P.135,BANDAU,N.05,TANDEK,1607,4782,73,14,6476
SABAH,P.135,BANDAU,N.06,LANGKON,1141,5233,515,8,6897
SABAH,P.136,KOTA BELUD,N.07,TEMPASUK,4787,4200,37,13,9037
SABAH,P.136,KOTA BELUD,N.08,USUKAN,8094,1375,808,9,10286
SABAH,P.136,KOTA BELUD,N.09,KADAMAIAN,1191,5010,740,20,6961
SABAH,P.137,TUARAN,N.10,TAMPARULI,1340,5817,1087,16,8260
SABAH,P.137,TUARAN,N.11,SULAMAN,5856,2247,1366,39,9508
SABAH,P.137,TUARAN,N.12,KIULU,2105,4514,362,0,6981
SABAH,P.138,KINABALU,N.13,KUNDASANG,1489,8035,62,22,9608
SABAH,P.138,KINABALU,N.14,RANAU,1495,6098,568,36,8197
SABAH,P.139,JAMBONGAN,N.15,SUGUT,1638,3031,137,331,5137
SABAH,P.139,JAMBONGAN,N.16,LABUK,5823,1261,232,146,7462
SABAH,P.139,JAMBONGAN,N.17,SUNGAI SIBUGA,6791,698,3969,94,11552
SABAH,P.140,SANDAKAN,N.18,ELOPURA,3035,560,8004,345,11944
SABAH,P.140,SANDAKAN,N.19,TANJONG PAPAT,2727,253,8533,239,11752
SABAH,P.140,SANDAKAN,N.20,KARAMUNTING,2825,230,7663,160,10878
SABAH,P.141,KINABATANGAN,N.21,SEKONG,4406,412,2636,0,7454
SABAH,P.141,KINABATANGAN,N.22,SUKAU,5966,239,236,3,6444
SABAH,P.141,KINABATANGAN,N.23,KUAMUT,3133,2293,74,0,5500
SABAH,P.142,KENINGAU,N.24,TAMBUNAN,588,6400,187,12,7187
SABAH,P.142,KENINGAU,N.25,BINGKOR,1622,6915,739,132,9408
SABAH,P.143,PENAMPANG,N.26,MOYOG,502,7631,1858,78,10069
SABAH,P.143,PENAMPANG,N.27,INANAM,3850,4493,3751,177,12271
SABAH,P.144,GAYA,N.28,LIKAS,4455,647,9429,150,14681
SABAH,P.144,GAYA,N.29,API-API,864,688,15292,253,17097
SABAH,P.145,TANJONG ARU,N.30,SEMBULAN,4138,1073,6548,216,11975
SABAH,P.145,TANJONG ARU,N.31,PETAGAS,3857,3830,4118,140,11945
SABAH,P.146,PAPAR,N.32,KAWANG,3188,3205,893,0,7286
SABAH,P.146,PAPAR,N.33,BUANG SAYANG,5744,2537,2155,65,10501
SABAH,P.147,KIMANIS,N.34,BONGAWAN,5662,2432,966,50,9110
SABAH,P.147,KIMANIS,N.35,KUALA PENYU,4471,2560,618,59,7708
SABAH,P.148,LIMBAWANG,N.36,KLIAS,4771,1272,1759,81,7883
SABAH,P.148,LIMBAWANG,N.37,LUMADAN,6070,738,635,147,7590
SABAH,P.149,PADAS,N.38,SIPITANG,4455,1949,535,29,6968
SABAH,P.149,PADAS,N.39,TENOM,368,4474,2445,34,7321
SABAH,P.149,PADAS,N.40,KEMABONG,880,4623,812,36,6351
SABAH,P.150,PENSIANGAN,N.41,SOOK,282,8945,1787,28,11042
SABAH,P.150,PENSIANGAN,N.42,NABAWAN,43,4712,56,5,4816
SABAH,P.151,TAWAU,N.43,MEROTAI,9400,61,2253,858,12572
SABAH,P.151,TAWAU,N.44,SRI TANJUNG,5766,148,11550,347,17811
SABAH,P.152,SILAM,N.45,LAHAD DATU,6394,2284,4410,1261,14349
SABAH,P.152,SILAM,N.46,KUNAK,9148,31,503,218,9900
SABAH,P.153,SEMPORNA,N.47,BALUNG,6837,691,4369,1091,12988
SABAH,P.153,SEMPORNA,N.48,SULABAYAN,12199,417,548,234,13398
