STATE,PARLIAMENT CODE,PARLIAMENT NAME,DUN CODE,DUN NAME,Iban (%),Bidayuh (%),Orang Ulu (%),Malay (%),Chinese (%),TOTAL,CHECK
SARAWAK,P.154,MAS GADING,N.1,TANJONG DATU,12.1,43.8,,29.5,13,,98.4
SARAWAK,P.154,MAS GADING,N.2,TASIK BIRU,1.7,59.2,,8.8,30.2,,99.9
SARAWAK,P.155,SANTUBONG,N.3,PANTAI DAMAI,0.1,3.1,,89.3,7.4,,99.9
SARAWAK,P.155,SANTUBONG,N.4,SEJINGKAT,0.1,1.1,,85.6,12.4,,99.2
SARAWAK,P.156,PETRA JAYA,N.5,TUPONG,7,0.3,,85.7,6.5,,99.5
SARAWAK,P.156,PETRA JAYA,N.6,SATOK,3.4,,,70.5,25,,98.9
SARAWAK,P.157,BANDAR KUCHING,N.7,PADUNGAN,0.4,0.3,0.1,2.7,96.3,,99.8
SARAWAK,P.157,BANDAR KUCHING,N.8,PENDING,1.4,2,,4,92.2,,99.6
SARAWAK,P.157,BANDAR KUCHING,N.9,BATU LINTANG,4.9,1.6,0.2,7.8,83.7,,98.2
SARAWAK,P.158,PADAWAN,N.10,BATU KAWAH,6.1,4.4,,13.2,75.8,,99.5
SARAWAK,P.158,PADAWAN,N.11,BENGOH,0.3,63,,3.7,33,,100
SARAWAK,P.159,KOTA SAMARAHAN,N.12,ASAJAYA,11.6,,,73.3,15,,99.9
SARAWAK,P.159,KOTA SAMARAHAN,N.13,MUARA TUANG,14.4,16.8,,48.3,20.1,,99.6
SARAWAK,P.160,SERIAN,N.14,TARAT,6.8,56.3,,4.9,32,,100
SARAWAK,P.160,SERIAN,N.15,TEBEDU,14,73.5,,4,8.6,,100.1
SARAWAK,P.161,BATANG SADONG,N.16,SEMERA,9.5,,,81.4,9,,99.9
SARAWAK,P.161,BATANG SADONG,N.17,SIMUNJAN,46.2,,,46.6,6.1,,98.9
SARAWAK,P.162,BATANG LUPAR,N.18,SEBUYAU,38.2,,,55.4,6.4,,100
SARAWAK,P.162,BATANG LUPAR,N.19,BELADIN,10.8,,,85.4,3.8,,100
SARAWAK,P.163,SRI AMAN,N.20,BUKIT BEGUNAN,92.1,,,1.7,6.2,,100
SARAWAK,P.163,SRI AMAN,N.21,SIMANGGANG,1.3,,,23.1,25.5,,49.9
SARAWAK,P.164,LUBOK ANTU,N.22,ENGKILILI,84.3,,,1.2,14,,99.5
SARAWAK,P.164,LUBOK ANTU,N.23,BATANG AIR,95.6,,,1.2,13.8,,110.6
SARAWAK,P.165,BETONG,N.24,SARIBAS,31.7,0.1,,60.7,7.6,,100.1
SARAWAK,P.165,BETONG,N.25,LAYAR,87.1,0.1,,3.4,9.5,,100.1
SARAWAK,P.166,SARATOK,N.26,KALAKA,40.1,,,49.3,10.5,,99.9
SARAWAK,P.166,SARATOK,N.27,KRIAN,96.7,,,0.1,3.2,,100
SARAWAK,P.167,KUALA RAJANG,N.28,BELAWAI,27.8,,,68.3,3.9,,100
SARAWAK,P.167,KUALA RAJANG,N.29,SERDENG,22.7,,,76,1.3,,100
SARAWAK,P.167,KUALA RAJANG,N.30,MATU - DARO,16.3,,,78.3,5.4,,100
SARAWAK,P.168,SARIKEI,N.31,MERADONG,33.8,,,13,53.1,,99.9
SARAWAK,P.168,SARIKEI,N.32,REPOK,19.6,,,2.7,77.6,,99.9
SARAWAK,P.169,JULAU,N.33,PAKAN,96.3,,,0.3,3.2,,99.8
SARAWAK,P.169,JULAU,N.34,MELUAN,94.8,,0.3,0.5,4.4,,100
