STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
KEDAH,P.4,LANGKAWI,N.1,PADANG MATSIRAT,"11,167",204,30,2,"11,403"
KEDAH,P.4,LANGKAWI,N.2,KUAH,"7,845","1,014",538,8,"9,405"
KEDAH,P.5,JERLUN,N.3,AYER HITAM,"18,920","2,199",28,144,"21,291"
KEDAH,P.5,JERLUN,N.4,KOTA SIPUTEH,"18,830","1,894",40,462,"21,226"
KEDAH,P.6,KUBANG PASU,N.5,TUNJANG,"19,373","1,824",555,155,"21,907"
KEDAH,P.6,KUBANG PASU,N.6,JITRA,"17,565","2,849","1,324",247,"21,985"
KEDAH,P.7,PADANG TERAP,N.7,KUALA NERANG,"13,221",344,79,117,"13,761"
KEDAH,P.7,PADANG TERAP,N.8,PEDU,"11,640",125,6,773,"12,544"
KEDAH,P.8,POKOK SENA,N.9,BUKIT LADA,"19,593","1,593",416,19,"21,621"
KEDAH,P.8,POKOK SENA,N.10,LANGGAR,"17,645","1,291",182,16,"19,134"
KEDAH,P.8,POKOK SENA,N.11,TANJONG SERI,"16,154","4,497",412,60,"21,123"
KEDAH,P.9,ALOR SETAR,N.12,DERGA,"8,135","9,887","1,601",57,"19,680"
KEDAH,P.9,ALOR SETAR,N.13,KOTA DARUL AMAN,"7,296","14,053","1,394",63,"22,806"
KEDAH,P.9,ALOR SETAR,N.14,ALOR MERAH,"13,444","4,505","1,156",18,"19,123"
KEDAH,P.10,KUALA KEDAH,N.15,ANAK BUKIT,"15,506","2,075",226,51,"17,858"
KEDAH,P.10,KUALA KEDAH,N.16,KUBANG ROTAN,"14,035","3,653",136,58,"17,882"
KEDAH,P.10,KUALA KEDAH,N.17,PENGKALAN KUNDOR,"16,330","3,490",192,15,"20,027"
KEDAH,P.11,PENDANG,N.18,BUKIT RAYA,"22,812","2,586",65,36,"25,499"
KEDAH,P.11,PENDANG,N.19,SUNGAI TIANG,"20,729",787,355,"2,655","24,526"
KEDAH,P.12,YAN,N.20,SALA,"19,291","1,760",5,22,"21,078"
KEDAH,P.12,YAN,N.21,GUAR CHEMPEDAK,"15,575","2,561",129,18,"18,283"
KEDAH,P.13,SIK,N.22,BELANTEK,"13,031",389,42,584,"14,046"
KEDAH,P.13,SIK,N.23,JENERI,"14,161",269,17,"1,038","15,485"
KEDAH,P.14,MERBOK,N.24,BUKIT SELAMBAU,"9,552","4,297","6,860",159,"20,868"
KEDAH,P.14,MERBOK,N.25,GURUN,"9,732","5,020","3,994",46,"18,792"
KEDAH,P.14,MERBOK,N.26,TANJONG DAWAI,"14,166","3,660",966,12,"18,804"
KEDAH,P.15,SUNGAI PETANI,N.27,PANTAI MERDEKA,"18,800","1,414",174,7,"20,395"
KEDAH,P.15,SUNGAI PETANI,N.28,BAKAR ARANG,"10,917","9,707","2,055",186,"22,865"
KEDAH,P.15,SUNGAI PETANI,N.29,SIDAM,"6,687","8,954","4,978",91,"20,710"
KEDAH,P.16,BALING,N.30,BAYU,"20,371","1,785",423,524,"23,103"
KEDAH,P.16,BALING,N.31,KUPANG,"23,366","1,475",727,148,"25,716"
KEDAH,P.17,PADANG SERAI,N.32,KUALA KETIL,"12,044","1,722","3,245",93,"17,104"
KEDAH,P.17,PADANG SERAI,N.33,MERBAU PULAS,"12,252","3,184","4,660",50,"20,146"
KEDAH,P.17,PADANG SERAI,N.34,LUNAS,"9,652","8,503","4,291",26,"22,472"
KEDAH,P.18,KULIM-BANDAR BAHARU,N.35,KULIM,"12,586","5,810","4,366",23,"22,785"
KEDAH,P.18,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,"14,828","3,891","1,414",2,"20,135"
