STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
KELANTAN,P.19,TUMPAT,N.1,PENGKALAN KUBOR,"12,732",25,11,"1,292","14,060"
KELANTAN,P.19,TUMPAT,N.2,KELABORAN,"12,731",523,106,"1,629","14,989"
KELANTAN,P.19,TUMPAT,N.3,PASIR PEKAN,"14,317",9,9,16,"14,351"
KELANTAN,P.20,PENGKALAN CHEPA,N.4,KIJANG,"12,140",653,7,23,"12,823"
KELANTAN,P.20,PENGKALAN CHEPA,N.5,CHEMPAKA,"14,715",111,32,8,"14,866"
KELANTAN,P.20,PENGKALAN CHEPA,N.6,PANCHOR,"13,569",198,56,39,"13,862"
KELANTAN,P.21,KOTA BHARU,N.7,TANJONG MAS,"15,786",790,70,32,"16,678"
KELANTAN,P.21,KOTA BHARU,N.8,KOTA LAMA,"13,815","8,933",445,159,"23,352"
KELANTAN,P.21,KOTA BHARU,N.9,BUNUT PAYONG,"14,384","1,400",237,34,"16,055"
KELANTAN,P.22,PASIR MAS,N.10,WAKAF BHARU,"15,122",848,9,413,"16,392"
KELANTAN,P.22,PASIR MAS,N.11,TENDONG,"13,644",313,1,53,"14,011"
KELANTAN,P.22,PASIR MAS,N.12,PENGKALAN PASIR,"15,087",720,53,33,"15,893"
KELANTAN,P.23,RANTAU PANJANG,N.13,MERANTI,"11,388",4,0,112,"11,504"
KELANTAN,P.23,RANTAU PANJANG,N.14,GUAL PERIOK,"15,284",252,18,137,"15,691"
KELANTAN,P.23,RANTAU PANJANG,N.15,BUKIT TUKU,"13,464",245,16,303,"14,028"
KELANTAN,P.24,KUBANG KERIAN,N.16,SALOR,"13,278",170,0,81,"13,529"
KELANTAN,P.24,KUBANG KERIAN,N.17,PASIR TUMBOH,"11,942",71,7,17,"12,037"
KELANTAN,P.24,KUBANG KERIAN,N.18,KENALI,"15,970",234,31,35,"16,270"
KELANTAN,P.25,BACHOK,N.19,TAWANG,"14,602",73,0,47,"14,722"
KELANTAN,P.25,BACHOK,N.20,PERUPOK,"14,935",167,1,295,"15,398"
KELANTAN,P.25,BACHOK,N.21,JELAWAT,"17,143",147,1,66,"17,357"
KELANTAN,P.26,PERINGAT,N.22,MELOR,"13,247",243,11,205,"13,706"
KELANTAN,P.26,PERINGAT,N.23,KADOK,"11,889",141,3,86,"12,119"
KELANTAN,P.26,PERINGAT,N.24,KETEREH,"13,587",182,55,216,"14,040"
KELANTAN,P.27,TANAH MERAH,N.25,CHETOK,"12,470",314,0,175,"12,959"
KELANTAN,P.27,TANAH MERAH,N.26,BUKIT PANAU,"13,367","1,097",37,382,"14,883"
KELANTAN,P.27,TANAH MERAH,N.27,GUAL IPOH,"10,692",221,481,54,"11,448"
KELANTAN,P.28,PASIR PUTEH,N.28,SELISING,"13,342",87,2,37,"13,468"
KELANTAN,P.28,PASIR PUTEH,N.29,LIMBONGAN,"14,226",528,37,77,"14,868"
KELANTAN,P.28,PASIR PUTEH,N.30,SEMERAK,"11,385",35,0,277,"11,697"
KELANTAN,P.28,PASIR PUTEH,N.31,GAAL,"11,414",23,0,92,"11,529"
KELANTAN,P.29,MACHANG,N.32,PULAI CHONDONG,"11,700",475,10,155,"12,340"
KELANTAN,P.29,MACHANG,N.33,BANGGOL JUDAH,"12,698",878,28,87,"13,691"
KELANTAN,P.29,MACHANG,N.34,KEMUNING,"11,685",322,63,96,"12,166"
KELANTAN,P.30,JELI,N.35,KEMAHANG,"12,171",13,16,97,"12,297"
KELANTAN,P.30,JELI,N.36,AIR LANAS,"10,447",5,0,2,"10,454"
KELANTAN,P.30,JELI,N.37,PERGAU,"8,515",21,33,25,"8,594"
KELANTAN,P.31,KUALA KRAI,N.38,GUCHIL,"9,324","1,854",628,220,"12,026"
KELANTAN,P.31,KUALA KRAI,N.39,MENGKEBANG,"12,405",264,263,46,"12,978"
KELANTAN,P.31,KUALA KRAI,N.40,MANEK URAI,"10,087",17,11,12,"10,127"
KELANTAN,P.32,GUA MUSANG,N.41,DABONG,"6,911",5,66,4,"6,986"
KELANTAN,P.32,GUA MUSANG,N.42,PALOH,"9,116",4,2,44,"9,166"
KELANTAN,P.32,GUA MUSANG,N.43,GALAS,"6,228","1,864",169,"2,727","10,988"
