STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
PAHANG,P.75,LIPIS,N.1,CAMERON HIGHLANDS,"2,030","7,046","3,790",358,"13,224"
PAHANG,P.75,LIPIS,N.2,JELAI,"5,022",60,59,"2,861","8,002"
PAHANG,P.75,LIPIS,N.3,PADANG TENGKU,"7,628",358,447,7,"8,440"
PAHANG,P.75,LIPIS,N.4,CEKA,"6,971","3,113",642,47,"10,773"
PAHANG,P.76,RAUB,N.5,BENTA,"5,226","2,392","1,111",9,"8,738"
PAHANG,P.76,RAUB,N.6,BATU TALAM,"7,722","1,272","1,086",2,"10,082"
PAHANG,P.76,RAUB,N.7,TERAS,"4,599","12,969","1,908",133,"19,609"
PAHANG,P.76,RAUB,N.8,DONG,"7,256","4,771",169,117,"12,313"
PAHANG,P.77,JERANTUT,N.9,TAHAN,"8,546",296,113,238,"9,193"
PAHANG,P.77,JERANTUT,N.10,DAMAK,"8,220","6,213",713,318,"15,464"
PAHANG,P.77,JERANTUT,N.11,PULAU TAWAR,"13,767",38,203,32,"14,040"
PAHANG,P.78,KUANTAN,N.12,BESERAH,"12,793","5,426",569,20,"18,808"
PAHANG,P.78,KUANTAN,N.13,TERUNTUM,"10,255","10,614","1,414",10,"22,293"
PAHANG,P.78,KUANTAN,N.14,INDERA MAHKOTA,"10,696","8,894","1,774",9,"21,373"
PAHANG,P.79,PAYA BESAR,N.15,SUNGAI LEMBING,"8,531","2,867",238,31,"11,667"
PAHANG,P.79,PAYA BESAR,N.16,LEPAR,"12,265","2,669",617,251,"15,802"
PAHANG,P.79,PAYA BESAR,N.17,PENUR,"15,346","1,673",211,8,"17,238"
PAHANG,P.80,PEKAN,N.18,KUALA PAHANG,"11,077",812,212,48,"12,149"
PAHANG,P.80,PEKAN,N.19,BEBAR,"8,081",156,160,"1,175","9,572"
PAHANG,P.80,PEKAN,N.20,CINI,"9,694",69,41,336,"10,140"
PAHANG,P.81,MARAN,N.21,LUIT,"5,961","1,836",214,55,"8,066"
PAHANG,P.81,MARAN,N.22,HULU JEMPUL,"9,152",868,306,58,"10,384"
PAHANG,P.81,MARAN,N.23,JENGKA,"10,692",24,295,0,"11,011"
PAHANG,P.81,MARAN,N.24,CENUR,"8,906",125,168,9,"9,208"
PAHANG,P.82,MENTEKAB,N.25,JENDERAK,"8,641","1,232",734,801,"11,408"
PAHANG,P.82,MENTEKAB,N.26,SANGGANG,"8,393","5,088",642,128,"14,251"
PAHANG,P.82,MENTEKAB,N.27,LANCANG,"8,130","3,465","2,412",412,"14,419"
PAHANG,P.83,BENTUNG,N.28,BILUT,,,,,
PAHANG,P.83,BENTUNG,N.29,KETARI,,,,,
PAHANG,P.83,BENTUNG,N.30,SABAI,,,,,
PAHANG,P.83,BENTUNG,N.31,PELANGAI,,,,,
PAHANG,P.84,TEMERLUH,N.32,SEMANTAN,"11,903","3,198",583,19,"15,703"
PAHANG,P.84,TEMERLUH,N.33,TERIANG,"2,731","8,787",660,6,"12,184"
PAHANG,P.84,TEMERLUH,N.34,GUAI,"8,251","1,302",510,345,"10,408"
PAHANG,P.84,TEMERLUH,N.35,BERA,"6,041","3,082",616,610,"10,349"
PAHANG,P.85,ROMPIN,N.36,BUKIT IBAM,"9,789",127,216,863,"10,995"
PAHANG,P.85,ROMPIN,N.37,MUADZAM SHAH,"8,172",111,261,"1,103","9,647"
PAHANG,P.85,ROMPIN,N.38,TIOMAN,"8,548",850,43,457,"9,898"
