STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
PERAK,P.52,GERIK,N.1,PENGKALAN HULU,"8,449","1,975",982,"1,406","12,812"
PERAK,P.52,GERIK,N.2,TEMENGOR,"6,739","3,306",412,"1,120","11,577"
PERAK,P.52,GERIK,N.3,KENERING,"8,386","2,294",75,380,"11,135"
PERAK,P.53,LARUT,N.4,SELAMA,"14,201","1,776",979,1,"16,957"
PERAK,P.53,LARUT,N.5,BATU KURAU,"13,932","1,272","2,077",47,"17,328"
PERAK,P.54,PARIT BUNTAR,N.6,TITI SERONG,"15,454","3,785","1,498",2,"20,739"
PERAK,P.54,PARIT BUNTAR,N.7,KUALA KURAU,"11,733","8,001",395,1,"20,130"
PERAK,P.55,BAGAN SERAI,N.8,ALOR PONGSU,"11,014","3,519","3,547",21,"18,101"
PERAK,P.55,BAGAN SERAI,N.9,GUNONG SEMANGGOL,"15,671","3,762","2,619",46,"22,098"
PERAK,P.56,BUKIT GANTANG,N.10,KUALA SEPETANG,"10,339","6,059","1,725",21,"18,144"
PERAK,P.56,BUKIT GANTANG,N.11,CHANGKAT JERING,"11,122","4,856","1,675",1,"17,654"
PERAK,P.56,BUKIT GANTANG,N.12,TRONG,"10,395","2,599","1,441",5,"14,440"
PERAK,P.57,TAIPING,N.13,KAMUNTING,"11,561","2,243","2,048",39,"15,891"
PERAK,P.57,TAIPING,N.14,POKOK ASSAM,"3,809","18,347","3,127",51,"25,334"
PERAK,P.57,TAIPING,N.15,AULONG,"8,182","12,362","3,458",116,"24,118"
PERAK,P.58,CHENDEROH,N.16,LENGGONG,"11,476","3,444",700,6,"15,626"
PERAK,P.58,CHENDEROH,N.17,LUBOK MERBAU,"12,671","3,621",985,3,"17,280"
PERAK,P.59,SUNGAI SIPUT,N.18,LINTANG,"10,478","3,422","3,577","1,545","19,022"
PERAK,P.59,SUNGAI SIPUT,N.19,JALONG,"2,497","15,551","5,296",509,"23,853"
PERAK,P.60,TAMBUN,N.20,MANJOI,"17,966","7,921","2,787",3,"28,677"
PERAK,P.60,TAMBUN,N.21,HULU KINTA,"14,137","8,004","3,386",857,"26,384"
PERAK,P.61,IPOH TIMOR,N.22,TAMAN CANNING,"3,100","20,484","2,051",127,"25,762"
PERAK,P.61,IPOH TIMOR,N.23,TEBING TINGGI,"2,787","17,128","1,243",26,"21,184"
PERAK,P.61,IPOH TIMOR,N.24,PASIR PINJI,"1,105","22,668",257,17,"24,047"
PERAK,P.62,IPOH BARAT,N.25,BERCHAM,"5,285","22,759","3,027",16,"31,087"
PERAK,P.62,IPOH BARAT,N.26,BUNTONG,"2,033","18,300","10,923",6,"31,262"
PERAK,P.63,BATU GAJAH,N.27,MENGLEMBU,"1,106","22,845","3,089",7,"27,047"
PERAK,P.63,BATU GAJAH,N.28,LAHAT,"6,165","19,851","2,549",50,"28,615"
PERAK,P.64,KUALA KANGSAR,N.29,BUKIT CHANDAN,"9,728","4,736","1,420",427,"16,311"
PERAK,P.64,KUALA KANGSAR,N.30,MANONG,"9,911","3,817","1,066",3,"14,797"
PERAK,P.65,BERUAS,N.31,PENGKALAN BAHARU,"9,652","4,220","2,126",4,"16,002"
PERAK,P.65,BERUAS,N.32,PANTAI REMIS,"4,056","17,269","3,518",8,"24,851"
PERAK,P.66,PARIT,N.33,BELANJA,"12,552","2,979",804,0,"16,335"
PERAK,P.66,PARIT,N.34,BOTA,"12,357","3,705",343,9,"16,414"
PERAK,P.67,GOPENG,N.35,RAPAT SETIA,"11,633","8,417","2,011",162,"22,223"
PERAK,P.67,GOPENG,N.36,TEJA,"7,922","10,022","1,802","1,123","20,869"
PERAK,P.68,KAMPAR,N.37,TUALANG SEKAH,"8,530","5,117","2,418",2,"16,067"
PERAK,P.68,KAMPAR,N.38,KUALA DIPANG,"2,208","15,656","2,019",198,"20,081"
PERAK,P.68,KAMPAR,N.39,MALIM NAWAR,"6,410","15,713","1,955",274,"24,352"
PERAK,P.69,TAPAH,N.40,CHENDERIANG,"5,844","7,822","2,342","2,512","18,520"
PERAK,P.69,TAPAH,N.41,AYER KUNING,"10,511","6,164","2,654","1,209","20,538"
PERAK,P.70,PASIR SALAK,N.42,SUNGAI MANIK,"12,816","5,734",715,349,"19,614"
PERAK,P.70,PASIR SALAK,N.43,KAMPONG GAJAH,"18,401",473,"1,406",387,"20,667"
PERAK,P.71,LUMUT,N.44,PANGKOR,"12,917","6,301","1,080",149,"20,447"
PERAK,P.71,LUMUT,N.45,PASIR PANJANG,"11,683","4,308","3,922",11,"19,924"
PERAK,P.71,LUMUT,N.46,SITIAWAN,"1,214","17,449","1,862",2,"20,527"
PERAK,P.72,BAGAN DATOK,N.47,RUNGKUP,"9,612","3,619","2,105",6,"15,342"
PERAK,P.72,BAGAN DATOK,N.48,HUTAN MELINTANG,"9,842","3,445","6,609",8,"19,904"
PERAK,P.73,TELOK INTAN,N.49,PASIR BEDAMAR,"4,532","20,063","3,807",9,"28,411"
PERAK,P.73,TELOK INTAN,N.50,CHANGKAT JONG,"11,806","2,677","6,770",4,"21,257"
PERAK,P.74,TANJONG MALIM,N.51,SUNGKAI,"6,039","10,701","3,676",851,"21,267"
PERAK,P.74,TANJONG MALIM,N.52,SLIM,"17,834","6,502","4,702",735,"29,773"
