STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
PERLIS,P.1,PADANG BESAR,N.1,TITI TINGGI,"4,738","1,336",240,7,"6,321"
PERLIS,P.1,PADANG BESAR,N.2,BESERI,"4,400","2,310",70,33,"6,813"
PERLIS,P.1,PADANG BESAR,N.3,CHUPING,"5,734",282,92,736,"6,844"
PERLIS,P.1,PADANG BESAR,N.4,MATA AYER,"5,382",191,127,257,"5,957"
PERLIS,P.1,PADANG BESAR,N.5,SANTAN,"6,266",79,12,1,"6,358"
PERLIS,P.2,KANGAR,N.6,BINTONG,"6,935",163,78,1,"7,177"
PERLIS,P.2,KANGAR,N.7,SENA,"5,340",937,246,317,"6,840"
PERLIS,P.2,KANGAR,N.8,INDERA KAYANGAN,"3,336","3,745",492,22,"7,595"
PERLIS,P.2,KANGAR,N.9,KUALA PERLIS,"5,334","1,602",9,22,"6,967"
PERLIS,P.2,KANGAR,N.10,KAYANG,"5,953",196,4,138,"6,291"
PERLIS,P.3,ARAU,N.11,PAUH,"5,184","1,344",425,86,"7,039"
PERLIS,P.3,ARAU,N.12,TAMBUN TULANG,"6,447",254,57,447,"7,205"
PERLIS,P.3,ARAU,N.13,GUAR SANJI,"6,601",99,26,3,"6,729"
PERLIS,P.3,ARAU,N.14,SIMPANG EMPAT,"5,283",793,26,2,"6,104"
PERLIS,P.3,ARAU,N.15,SANGLANG,"5,862",687,13,7,"6,569"
