STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (1998),MALAY ELECTORS (1998),CHINESE ELECTORS (1998),INDIAN ELECTORS (1998),OTHER ELECTORS (1998),NORMAL VOTERS,POSTAL - MILITARY,POSTAL - POLICE,POSTAL - ABSENT VOTERS
SELANGOR,P.86,SABAK BERNAM,N.1,SUNGAI AIR TAWAR,10595,8088,1887,620,0,10584,0,11,0
SELANGOR,P.86,SABAK BERNAM,N.2,SABAK,10535,7699,1802,1019,15,10518,0,17,0
SELANGOR,P.86,SABAK BERNAM,N.3,SUNGAI BESAR,13624,10248,3096,264,16,13398,25,201,0
SELANGOR,P.87,TANJUNG KARANG,N.4,SUNGAI PANJANG,12196,12123,53,20,0,12196,0,0,0
SELANGOR,P.87,TANJUNG KARANG,N.5,SEKINCAN,14776,8361,5974,441,0,14771,0,5,0
SELANGOR,P.87,TANJUNG KARANG,N.6,SUNGAI BURUNG,15914,13968,1716,230,0,15892,0,22,0
SELANGOR,P.88,HULU SELANGOR,N.7,HULU BERNAM,17430,11565,3519,2346,0,17382,0,48,0
SELANGOR,P.88,HULU SELANGOR,N.8,KUALA KUBU BHARU,16973,4802,8903,3268,0,15656,867,450,0
SELANGOR,P.88,HULU SELANGOR,N.9,BATANG KALI,19030,10369,4480,4181,0,18996,0,34,0
SELANGOR,P.89,KUALA SELANGOR,N.10,PERMATANG,20341,11902,4905,3533,1,20140,0,201,0
SELANGOR,P.89,KUALA SELANGOR,N.11,IJUK,17018,6806,2898,7313,1,16991,0,26,1
SELANGOR,P.89,KUALA SELANGOR,N.12,JERAM,15886,11516,2394,1976,0,15884,0,2,0
SELANGOR,P.9,SELAYANG,N.13,RAWANG,26648,6477,15232,4913,26,26186,192,270,0
SELANGOR,P.9,SELAYANG,N.14,SELAYANG BAHARU,30925,16851,10238,3708,128,30863,0,61,1
SELANGOR,P.9,SELAYANG,N.15,PAYA JARAS,28451,17547,3687,7217,0,26604,1800,47,0
SELANGOR,P.91,GOMBAK,N.16,SUNGAI TUA,21284,13054,3927,4303,0,21012,172,100,0
SELANGOR,P.91,GOMBAK,N.17,GOMBAK SETIA,30133,24060,4008,2012,53,29981,0,152,0
SELANGOR,P.91,GOMBAK,N.18,HULU KELANG,22759,18665,3466,628,0,22676,0,83,0
SELANGOR,P.92,AMPANG JAYA,N.19,AMPANG,28215,15828,11105,1232,50,27934,0,281,0
SELANGOR,P.92,AMPANG JAYA,N.20,PANDAN,36133,18430,15202,2453,48,36105,0,28,0
SELANGOR,P.92,AMPANG JAYA,N.21,LEMBAH JAYA,34606,20720,10867,2997,22,34581,0,25,0
SELANGOR,P.93,HULU LANGAT,N.22,DUSUN TUA,21141,13395,6449,1223,74,19218,0,1923,0
SELANGOR,P.93,HULU LANGAT,N.23,KAJANG,29550,16966,9478,3099,7,29178,31,341,0
SELANGOR,P.93,HULU LANGAT,N.24,BERANANG,20585,12011,5088,3434,52,20447,75,63,0
SELANGOR,P.94,PJ UTARA,N.25,DAMANSARA UTAMA,40147,4778,33547,1609,213,40126,0,20,1
SELANGOR,P.94,PJ UTARA,N.26,KAMPUNG TUNKU,30864,6104,21380,3024,356,30785,0,79,0
SELANGOR,P.95,PJ SELATAN,N.27,BUKIT GASING,34541,4726,25907,3470,438,34152,0,388,1
SELANGOR,P.95,PJ SELATAN,N.28,TAMAN MEDAN,33828,19088,9325,5173,242,33810,0,18,0
SELANGOR,P.96,SERDANG,N.29,PUCUNG,43195,20725,15357,6997,116,42095,1067,33,0
SELANGOR,P.96,SERDANG,N.30,SERI KEMBANGAN,24572,1193,21464,1915,0,24542,0,30,0
SELANGOR,P.96,SERDANG,N.31,BALAKONG,27438,7772,17648,2018,0,27434,0,4,0
SELANGOR,P.97,SUBANG,N.32,BUKIT LANJAN,28182,12682,11709,3743,48,25930,2075,177,0
SELANGOR,P.97,SUBANG,N.33,KELANA JAYA,32204,19264,4462,8427,51,32180,0,24,0
SELANGOR,P.97,SUBANG,N.34,SUBANG JAYA,32791,14136,15062,3578,15,32759,0,32,0
SELANGOR,P.98,SHAH ALAM,N.35,BATU TIGA,26604,17111,5287,4193,13,25684,143,777,0
SELANGOR,P.98,SHAH ALAM,N.36,SUNGAI RENGGAM,35992,22200,7670,6111,11,35951,0,41,0
SELANGOR,P.98,SHAH ALAM,N.37,KOTA RAJA,30872,17275,5634,7932,31,30867,0,5,0
SELANGOR,P.99,KAPAR,N.38,MERU,22625,12627,6625,3365,8,22625,0,0,0
SELANGOR,P.99,KAPAR,N.39,SEMENTA,27534,15559,7866,4070,39,27518,0,16,0
SELANGOR,P.99,KAPAR,N.40,SELAT KLANG,24974,15184,7571,2120,99,24937,0,37,0
SELANGOR,P.100,KLANG,N.41,BANDAR KLANG,40062,4313,29597,5984,168,39671,0,389,2
SELANGOR,P.100,KLANG,N.42,PELABUHAN KLANG,41410,18902,16002,6343,163,41377,0,33,0
SELANGOR,P.101,KUALA LANGAT,N.43,SIJANGKANG,19197,13808,1621,3764,4,19178,0,19,0
SELANGOR,P.101,KUALA LANGAT,N.44,TELUK DATUK,19287,6118,9090,4065,14,19267,0,20,0
SELANGOR,P.101,KUALA LANGAT,N.45,MORIB,19777,10966,4980,3822,9,19174,360,243,0
SELANGOR,P.102,SEPANG,N.46,BATU LAUT,19898,12239,4877,2776,6,19880,0,18,0
SELANGOR,P.102,SEPANG,N.47,DENGKIL,18145,12809,1749,3581,6,18143,0,2,0
SELANGOR,P.102,SEPANG,N.48,SUNGAI PELIK,16976,5399,7088,4483,6,16729,0,247,0
