STATE,PARLIAMENT CODE,PARLIAMENT NAME,DUN CODE,DUN NAME,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),TOTAL
SABAH,P.167,KUDAT,N.01,BANGGI,72,27,0.5,0.5,"5,961"
SABAH,P.167,KUDAT,N.02,BENGKOKA,43,55,0.3,0.02,"11,543"
SABAH,P.167,KUDAT,N.03,PITAS,55,43,0.6,0.1,"10,928"
SABAH,P.167,KUDAT,N.04,TANJONG KAPOR,60,28,10,0.2,"23,700"
SABAH,P.168,KOTA MARUDU,N.05,MATUNGGONG,23,76,0.8,0.02,"17,111"
SABAH,P.168,KOTA MARUDU,N.06,BANDAU,43,52,3.8,0.1,"14,615"
SABAH,P.168,KOTA MARUDU,N.07,TANDEK,23,76,1.1,0.05,"14,615"
SABAH,P.169,KOTA BELUD,N.08,PINTASAN,76,24,0.2,0.03,"10,867"
SABAH,P.169,KOTA BELUD,N.09,TEMPASUK,65,34,0.1,0.07,"11,996"
SABAH,P.169,KOTA BELUD,N.10,USUKAN,86,9,5,0.2,"16,883"
SABAH,P.169,KOTA BELUD,N.11,KADAMAIAN,14,85,0.4,0.06,"17,968"
SABAH,P.170,TUARAN,N.12,SULAMAN,81,17,2,0.2,"11,711"
SABAH,P.170,TUARAN,N.13,PANTAI DALIT,74,18,7,0.2,"15,091"
SABAH,P.170,TUARAN,N.14,TAMPARULI,24,69,6.5,0.07,"16,597"
SABAH,P.170,TUARAN,N.15,KIULU,13,86,0.4,0.06,"10,887"
SABAH,P.171,SEPANGGAR,N.16,KARAMBUNAI,71,23,6,0.8,"19,560"
SABAH,P.171,SEPANGGAR,N.17,DARAU,78,13,8,0.3,"18,350"
SABAH,P.171,SEPANGGAR,N.18,INANAM,26,52,22,0.3,"26,035"
SABAH,P.172,KOTA KINABALU,N.19,LIKAS,15,36,48,0.7,"14,934"
SABAH,P.172,KOTA KINABALU,N.20,API - API,41,25,34,0.6,"19,149"
SABAH,P.172,KOTA KINABALU,N.21,LUYANG,9,41,50,0.5,"25,775"
SABAH,P.173,PUTATAN,N.22,TANJUNG ARU,59,20,21,0.3,"14,941"
SABAH,P.173,PUTATAN,N.23,PETAGAS,79,15,6,0.3,"13,763"
SABAH,P.173,PUTATAN,N.24,TANJUNG KERAMAT,70,23,6,0.3,"14,350"
SABAH,P.174,PENAMPANG,N.25,KAPAYAN,17,49,33,0.8,"30,034"
SABAH,P.174,PENAMPANG,N.26,MOYOG,9,85,5,0.2,"19,465"
SABAH,P.175,PAPAR,N.27,LIMBAHAU,22,70,8,0.2,"12,739"
SABAH,P.175,PAPAR,N.28,KAWANG,81,16,3,0.1,"14,932"
SABAH,P.175,PAPAR,N.29,PANTAI MANIS,88,5,7,0.1,"14,322"
SABAH,P.176,KIMANIS,N.30,BONGAWAN,66,30,3,0.1,"16,735"
